"Source:","/Users/hakadm/kod/electronics/pro3320/kicad_files/pro3320.sch"
"Date:","Onsdag 01 Maj 2019 19:23:33"
"Tool:","Eeschema (5.0.0-3-g5ebb6b6)"
"Generator:","/private/var/folders/79/w6k_fbnx22x3yccf9pwdl5kr0000gq/T/AppTranslocation/394FA03B-DDAC-4F13-A973-60D9AE394111/d/kicad.app/Contents/SharedSupport/plugins/bom_csv_grouped_by_value_with_fp.py"
"Component Count:","78"
"Ref","Qnty","Value","Cmp name","Footprint","Description","Vendor"
"C1, C14, C10, ","3","2.2uF","CP","Capacitor_THT:CP_Radial_D5.0mm_P2.00mm","",""
"C3, C2, C12, C13, ","4","150p","C","Capacitor_THT:C_Rect_L7.0mm_W3.5mm_P5.00mm","",""
"C4, C5, ","2","10uF","CP","Capacitor_THT:CP_Radial_D5.0mm_P2.00mm","",""
"C9, C8, C7, C6, C11, C15, ","6","100nF","C","Capacitor_THT:C_Rect_L7.2mm_W3.5mm_P5.00mm_FKS2_FKP2_MKS2_MKP2","",""
"D1, D2, ","2","1N4001","1N4001","Diode_THT:D_DO-41_SOD81_P7.62mm_Horizontal","",""
"J1, ","1","RES_CV","AudioJack_Mono_No_Switch","Connector_PinHeader_2.54mm:PinHeader_1x02_P2.54mm_Vertical","Audio Jack, 2 Poles (Mono / TS), Switched Pole (Normalling)",""
"J2, ","1","IN","AudioJack_Mono_No_Switch","Connector_PinHeader_2.54mm:PinHeader_1x02_P2.54mm_Vertical","Audio Jack, 2 Poles (Mono / TS), Switched Pole (Normalling)",""
"J3, ","1","FREQ_CV","AudioJack_Mono_No_Switch","Connector_PinHeader_2.54mm:PinHeader_1x02_P2.54mm_Vertical","Audio Jack, 2 Poles (Mono / TS), Switched Pole (Normalling)",""
"J4, ","1","EUROPOWER","Conn_02x05_Odd_Even","Connector_PinHeader_2.54mm:PinHeader_2x05_P2.54mm_Vertical","",""
"J5, ","1","OUT","AudioJack_Mono_No_Switch","Connector_PinHeader_2.54mm:PinHeader_1x02_P2.54mm_Vertical","Audio Jack, 2 Poles (Mono / TS), Switched Pole (Normalling)",""
