"Source:","/Users/hakan/kod/electronics/pro3340/kicad_files/pro3340.sch"
"Date:","Söndag 19 Augusti 2018 22:09:32"
"Tool:","Eeschema 4.0.7"
"Generator:","bom_csv_grouped_by_value.py"
"Component Count:","89"

"Collated Components:"

"Item","Qty","Reference(s)","Value","LibPart","Footprint","Datasheet"
"1","10","C1, C2, C3, C7, C8, C10, C11, C14, C15, C16","100nF","device:C","Capacitors_THT:C_Rect_L7.0mm_W3.5mm_P5.00mm",""
"2","1","C4","200pF","device:C","Capacitors_THT:C_Rect_L7.0mm_W3.5mm_P5.00mm",""
"3","2","C5, C6","10nF","device:C","Capacitors_THT:C_Rect_L7.0mm_W3.5mm_P5.00mm",""
"4","1","C9","1nF poly","device:C","Capacitors_THT:C_Axial_L12.0mm_D6.5mm_P15.00mm_Horizontal",""
"5","2","C12, C13","10uF","device:CP","Capacitors_THT:CP_Radial_D5.0mm_P2.50mm",""
"6","2","D1, D2","1N4148","diode:1N4148","Diodes_THT:D_DO-35_SOD27_P7.62mm_Horizontal",""
"7","1","J1","HARD_SYNC","conn:Audio-Jack-2","Pin_Headers:Pin_Header_Straight_1x02_Pitch2.54mm",""
"8","1","J2","SYNC","conn:Audio-Jack-2","Pin_Headers:Pin_Header_Straight_1x02_Pitch2.54mm",""
"9","1","J3","LIN_FM","conn:Audio-Jack-2","Pin_Headers:Pin_Header_Straight_1x02_Pitch2.54mm",""
"10","1","J4","1V/OCT","conn:Audio-Jack-2","Pin_Headers:Pin_Header_Straight_1x02_Pitch2.54mm",""
"11","1","J5","EXP_FM","conn:Audio-Jack-2","Pin_Headers:Pin_Header_Straight_1x02_Pitch2.54mm",""
"12","1","J6","PWM","conn:Audio-Jack-2","Pin_Headers:Pin_Header_Straight_1x02_Pitch2.54mm",""
"13","1","J7","EURO_POWER","conn:Conn_02x05_Odd_Even","Pin_Headers:Pin_Header_Straight_2x05_Pitch2.54mm",""
"14","1","J8","TRIANGLE","conn:Audio-Jack-2","Pin_Headers:Pin_Header_Straight_1x02_Pitch2.54mm",""
"15","1","J9","SAW","conn:Audio-Jack-2","Pin_Headers:Pin_Header_Straight_1x02_Pitch2.54mm",""
"16","1","J10","PULSE","conn:Audio-Jack-2","Pin_Headers:Pin_Header_Straight_1x02_Pitch2.54mm",""
"17","1","J11","SUB_PULSE","conn:Audio-Jack-2","Pin_Headers:Pin_Header_Straight_1x02_Pitch2.54mm",""
"18","1","Q1","2N3906","transistors:2N3906","TO_SOT_Packages_THT:TO-92_Inline_Wide",""
"19","1","R1","68k","device:R","Resistors_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal",""
"20","7","R2, R3, R4, R18, R21, R23, R24","100k","device:R","Resistors_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal",""
"21","1","R5","3.3M","device:R","Resistors_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal",""
